date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:53:07	46574/46574	---M--	200	added ('OK')	image/jpeg	etag:%22251781f64f739dbc45049f987caac192%22	https://www.khoahocpeter.online/img/about.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/about.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:08	16441/16441	---MCZ	200	added ('OK')	text/html	etag:W/%225d27930bbf1c45cdd6205f6184016bc7%22	https://www.khoahocpeter.online/detail/html-css-pro-f8.html	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/detail/html-css-pro-f8.html	(from https://www.khoahocpeter.online/index.html)
23:53:08	102561/102561	---M--	200	added ('OK')	image/jpeg	etag:%22af8c3faa91af7febbc2b5362cd00e9dc%22	https://www.khoahocpeter.online/img/course-3.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/course-3.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:08	16149/16149	---MCZ	200	added ('OK')	text/html	etag:W/%22d3dee462736f6ec0f9ca4b712ca72ac5%22	https://www.khoahocpeter.online/detail/javascript-pro-f8.html	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/detail/javascript-pro-f8.html	(from https://www.khoahocpeter.online/index.html)
23:53:09	31586/31586	---M--	200	added ('OK')	image/jpeg	etag:%2236114e8dada42d2f9e50e26e126235d3%22	https://www.khoahocpeter.online/img/course-5.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/course-5.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:09	14058/14058	---MCZ	200	added ('OK')	text/html	etag:W/%22b6d5807fdc89fa9992e37708f8605548%22	https://www.khoahocpeter.online/detail/combo-f8.html	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/detail/combo-f8.html	(from https://www.khoahocpeter.online/index.html)
23:53:10	14247/14247	---M--	200	added ('OK')	image/jpeg	etag:%2204d1541c279ae87b56034ca3cde1af60%22	https://www.khoahocpeter.online/img/course-f8.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/course-f8.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:10	22061/22061	---MCZ	200	added ('OK')	text/html	etag:W/%22332a1733c5c210a9ffc31d8cc9ca63f7%22	https://www.khoahocpeter.online/detail/duthanhduoc/nextjs-super-du-thanh-duoc.html	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/detail/duthanhduoc/nextjs-super-du-thanh-duoc.html	(from https://www.khoahocpeter.online/index.html)
23:53:10	9258/9258	---M--	200	added ('OK')	image/jpeg	etag:%2270dca61b7c7ec9ac687280a6b74b8b31%22	https://www.khoahocpeter.online/img/course-8.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/course-8.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:11	19091/19091	---MCZ	200	added ('OK')	text/html	etag:W/%22ab3c3af2037c9d914b8b977bbfabf03f%22	https://www.khoahocpeter.online/detail/holetex/khoa-hoc-react-pro-2024-holetex.html	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/detail/holetex/khoa-hoc-react-pro-2024-holetex.html	(from https://www.khoahocpeter.online/index.html)
23:53:11	25314/25314	---M--	200	added ('OK')	image/jpeg	etag:%2241cbf72889a951107a5d810cd43ff150%22	https://www.khoahocpeter.online/img/course-7.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/course-7.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:11	19771/19771	---MCZ	200	added ('OK')	text/html	etag:W/%2223db259743d177238f4877a6b8c175dd%22	https://www.khoahocpeter.online/detail/hoidanit/java-spring-mvc-ultimate-for-beginners.html	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/detail/hoidanit/java-spring-mvc-ultimate-for-beginners.html	(from https://www.khoahocpeter.online/index.html)
23:53:12	42576/42576	---M--	200	added ('OK')	image/jpeg	etag:%22c7227e339f6e1e5bb6cc9dbf955100b7%22	https://www.khoahocpeter.online/img/course-12.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/course-12.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:12	24961/24961	---MCZ	200	added ('OK')	text/html	etag:W/%221308541b7745a5cad374fa54d37086d1%22	https://www.khoahocpeter.online/detail/khanhnguyen/khoa-hoc-frontend-thuc-chien-nextjs-14-reactjs-18-typescript.html	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/detail/khanhnguyen/khoa-hoc-frontend-thuc-chien-nextjs-14-reactjs-18-typescript.html	(from https://www.khoahocpeter.online/index.html)
23:53:12	201423/201423	---M--	200	added ('OK')	image/jpeg	etag:%22cf3164bd3b5fc5c4ab801e28db512f16%22	https://www.khoahocpeter.online/img/course-16.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/course-16.jpg	(from https://www.khoahocpeter.online/index.html)
23:53:13	16630/16630	---MCZ	200	added ('OK')	text/html	etag:W/%220a70d0183d6647b5e547e8a189e346cf%22	https://www.khoahocpeter.online/detail/evondev/khoa-hoc-nextjs-pro-evondev.html	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/detail/evondev/khoa-hoc-nextjs-pro-evondev.html	(from https://www.khoahocpeter.online/index.html)
23:53:13	15492/15492	---M--	200	added ('OK')	image/jpeg	etag:%22a5a99c88c34a7b993ea97132bb6f6305%22	https://www.khoahocpeter.online/img/course-15.jpg	D:/clonewebkhoahoc/webkhoahoc/www.khoahocpeter.online/img/course-15.jpg	(from https://www.khoahocpeter.online/index.html)
